Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,X-Coord,Y-Coord,Analysis Date,Total Cost
P156_03N_IDC1664,Drainage,Major Culvert,Culvert Major,2012/10/15,03N,P156,8.90,27.73,-26.73,2022/06/30,0.00
P156_03N_IDC1669,Drainage,Major Culvert,Culvert Major,2012/10/15,03N,P156,9.40,27.72,-26.73,2022/06/30,73620.00
P156_03N_IDC1674,Drainage,Major Culvert,Culvert Major,2012/10/15,03N,P156,9.90,27.72,-26.73,2022/06/30,27800.00
P156_03N_IDC1679,Drainage,Major Culvert,Culvert Major,2012/10/16,03N,P156,10.70,27.71,-26.74,2022/06/30,19910.00
P156_03N_IDC1683,Drainage,Major Culvert,Culvert Major,2012/10/16,03N,P156,11.95,27.69,-26.74,2022/06/30,98800.00
P156_03N_IDC1709,Drainage,Major Culvert,Culvert Major,2012/10/16,03N,P156,12.02,27.69,-26.74,2022/06/30,26600.00
P156_03N_IDC1710,Drainage,Major Culvert,Culvert Major,2012/10/16,03N,P156,12.10,27.69,-26.74,2022/06/30,76000.00
P156_03N_IDC1712,Drainage,Major Culvert,Culvert Major,2012/10/16,03N,P156,13.00,27.69,-26.74,2022/06/30,114000.00
P156_03N_IDC1714,Drainage,Major Culvert,Culvert Major,2012/10/16,03N,P156,13.30,27.69,-26.74,2022/06/30,0.00
P156_03N_IDC1715,Drainage,Major Culvert,Culvert Major,2012/10/16,03N,P156,13.99,27.68,-26.75,2022/06/30,0.00
P156_04N_IDC1353,Drainage,Major Culvert,Culvert Major,2012/10/16,04N,P156,1.70,27.68,-26.76,2022/06/30,4500.00
P158_01N_B2227A,Freedom Park Access,Bridge,Bridge,2012/11/07,01N,P158,0.60,28.19,-25.77,2022/06/30,23150.00
P158_01N_B2227B,Freedom Park Access,Bridge,Bridge,2012/11/07,01N,P158,0.60,28.19,-25.77,2022/06/30,12200.00
P158_01N_B2228A,M7 Eeufees Road,Bridge,Bridge,2012/11/07,01N,P158,2.30,28.19,-25.78,2022/06/30,35660.00
P158_01N_B2228B,M7 Eeufess Road,Bridge,Bridge,2012/11/07,01N,P158,2.30,28.19,-25.78,2022/06/30,68250.00
P158_01N_B2299A,N14 NBC over M34,Bridge,Bridge,2012/11/08,01N,P158,9.10,28.18,-25.84,2022/06/30,2760.00
P158_01N_B2299B,N14 SBC over M34,Bridge,Bridge,2012/11/08,01N,P158,9.15,28.18,-25.84,2022/06/30,44780.00
P158_01N_B2300A,N14 NBC over Hennops River,Bridge,Bridge,2012/11/08,01N,P158,10.22,28.18,-25.85,2022/06/30,7500.00
P158_01N_B2300B,N14 SBC over Hennops River Bridge,Bridge,Bridge,2012/11/08,01N,P158,10.23,28.18,-25.85,2022/06/30,43360.00
P158_01N_B2301,Edward Rd Bridge at km12.18,Bridge,Bridge,2012/11/08,01N,P158,12.18,28.17,-25.86,2022/06/30,54860.00
P158_01N_B2348,Bridge at Route km 3.7,Bridge,Bridge,2012/11/07,01N,P158,3.70,28.18,-25.79,2022/06/30,129250.00
P158_01N_B2384,Bridge at Route km 4.7,Bridge,Bridge,2012/11/07,01N,P158,4.70,28.18,-25.80,2022/06/30,14250.00
P158_01N_B4869A,K103 over P158-1,Bridge,Bridge,2012/11/01,01N,P158,5.60,28.18,-25.82,2022/06/30,17450.00
P158_01N_B5208,M25 Hendrik Verwoerd Drive Overpass,Bridge,Bridge,2012/11/08,01N,P158,11.95,28.17,-25.86,2022/06/30,15240.00
P158_01N_IDB2124,Bridge at Route km 6.1,Bridge,Bridge,2012/11/07,01N,P158,6.10,28.18,-25.81,2022/06/30,220650.00
P158_01N_IDC1900,Tributary of Hennops River,Major Culvert,Culvert Major,2012/11/01,01N,P158,6.75,28.18,-25.82,2022/06/30,7500.00
P158_01N_IDC2060,Tributary,Major Culvert,Culvert Major,2012/11/08,01N,P158,6.00,28.18,-25.81,2022/06/30,0.00
P158_01N_IDC2087,Tributary,Major Culvert,Culvert Major,2012/11/07,01N,P158,4.60,28.18,-25.80,2022/06/30,0.00
P158_1_B5098,Soweto/R554 I/C: R554 Overpass,Bridge,Bridge,2011/10/20,1,P186,91.49,27.85,-26.30,2022/06/30,43280.00
P158_2_B2947A,Crocodile River Bridge A (EB),Bridge,Bridge,2011/11/23,2,P158,2.98,27.85,-26.04,2022/06/30,443550.00
P158_2_B2947B,Crocodile River Bridge B (WB),Bridge,Bridge,2011/11/23,2,P158,3.03,27.85,-26.04,2022/06/30,16600.00
P158_2_B3298A,Driefontein Farm Access Underpass (N014EB),Bridge,Bridge,2011/11/23,2,P158,3.89,27.85,-26.03,2022/06/30,3400.00
P158_2_B3298B,Driefontein Farm Access Underpass (N014WB),Bridge,Bridge,2011/11/23,2,P158,3.94,27.85,-26.03,2022/06/30,22950.00
P158_2_B3299A,Beyers Naude Dr (M5) I/C: Beyers Naude Dr (M5) NB Overpass,Bridge,Bridge,2011/11/29,2,P158,5.52,27.86,-26.02,2022/06/30,119350.00
P158_2_B3299B,Beyers Naude Dr (M5) I/C: Beyers Naude Dr (M5) SB Overpass,Bridge,Bridge,2011/11/29,2,P158,5.56,27.86,-26.02,2022/06/30,23200.00
P158_2_B3300,Elandsdrif Rd Overpass,Bridge,Bridge,2011/11/29,2,P158,7.75,27.88,-26.01,2022/06/30,109690.00
P158_2_B3301A,Sunset Drive Underpass (N14EB),Bridge,Bridge,2011/11/29,2,P158,9.15,27.89,-26.01,2022/06/30,6300.00
P158_2_B3301B,Sunset Drive Underpass (N14WB),Bridge,Bridge,2011/11/29,2,P158,9.16,27.89,-26.01,2022/06/30,15500.00
P158_2_B3302,Jukskei Arch Bridge,Bridge,Bridge,2011/11/29,2,P158,10.70,27.91,-26.00,2022/06/30,6100.00
P158_2_B3303A,Nooitgedacht Farm Road Underpass (N14 EB),Bridge,Bridge,2011/11/29,2,P158,12.65,27.92,-25.99,2022/06/30,5500.00
P158_2_B3303B,Nooitgedacht Farm Road Underpass (N14 WB),Bridge,Bridge,2011/11/29,2,P158,12.64,27.92,-25.99,2022/06/30,5500.00
P158_2_B3304A,Malibongwe Dr (R512) I/C: Malibongwe Dr (R512) Overpass,Bridge,Bridge,2011/11/29,2,P158,13.34,27.93,-25.98,2022/06/30,0.00
P158_2_B3304B,Malibongwe Drive (R512) Interchange Overpass,Bridge,Bridge,2011/11/29,2,P158,13.34,27.93,-25.98,2022/06/30,0.00
P158_2_B3305,Road D1027 Overpass,Bridge,Bridge,2011/11/29,2,P158,15.52,27.94,-25.97,2022/06/30,96200.00
P158_2_B3344,Old Johannesburg Road,Bridge,Bridge,2011/11/25,2,P158,40.70,28.16,-25.88,2022/06/30,128320.00
P158_2_B3345A,R55 Ic Bridge A,Bridge,Bridge,2011/11/25,2,P158,34.70,28.10,-25.89,2022/06/30,28800.00
P158_2_B3345B,R55 Ic Bridge B,Bridge,Bridge,2011/11/25,2,P158,34.70,28.10,-25.89,2022/06/30,28800.00
P158_2_B3348,Rooihuiskraal Overpass,Bridge,Bridge,2011/11/25,2,P158,38.60,28.14,-25.89,2022/06/30,75710.00
P158_2_B3351,Rietspruit Bridge,Bridge,Bridge Cellular,2016/07/07,2,P158,36.30,28.12,-25.89,2022/06/30,31260.00
P158_2_B3422A,Olievenhoutbos Subway A,Bridge,Bridge,2011/11/25,2,P158,36.20,28.12,-25.89,2022/06/30,176190.00
P158_2_B3422B,Olievenhoutbos Subway B,Bridge,Bridge,2011/11/25,2,P158,36.20,28.12,-25.89,2022/06/30,46580.00
P158_2_B3512A,Jukskei River Bridge A (N014EB),Bridge,Bridge,2011/11/29,2,P158,18.42,27.96,-25.95,2022/06/30,0.00
P158_2_B3512B,Jukskei River Bridge B (N014WB),Bridge,Bridge,2011/11/29,2,P158,18.45,27.96,-25.95,2022/06/30,41800.00
P158_2_B3513,Access Road Overpass,Bridge,Bridge,2011/11/24,2,P158,22.17,27.99,-25.93,2022/06/30,260220.00
P158_2_B3514,R114 Overpass,Bridge,Bridge,2011/11/24,2,P158,22.60,27.99,-25.93,2022/06/30,71460.00
P158_2_B3515A,Diepsloot I/C Bridge B,Bridge,Bridge,2011/11/24,2,P158,26.40,28.03,-25.91,2022/06/30,620000.00
P158_2_B3515B,Diepsloot I/C Bridge A,Bridge,Bridge,2011/11/24,14E,N014,26.30,28.03,-25.91,2022/06/30,668660.00
P158_2_B3517,Knoppieslaagte Road Overpass,Bridge,Bridge,2011/11/25,2,P158,29.90,28.06,-25.90,2022/06/30,54960.00
P158_2_B3518,Monument Drive Overpass,Bridge,Bridge,2011/11/25,2,P158,32.80,28.09,-25.90,2022/06/30,428770.00
P158_2_B5551,Total Petroport Pedestrian Bridge,Bridge,Bridge,2011/12/01,2,P158,17.02,27.95,-25.96,2022/06/30,15270.00
P158_2_C23,Crocodile River Tributary 3,Major Culvert,Culvert Major,2011/11/30,2,P158,7.20,27.87,-26.01,2022/06/30,152250.00
P158_2_C25,Beyers Naude Dr (M5) I/C: Crocodile River Tributary 2,Major Culvert,Culvert Major,2011/11/30,2,P158,5.90,27.86,-26.02,2022/06/30,0.00
P158_2_C3516,Swartbooispruit,Major Culvert,Culvert Major,2011/12/01,2,P158,28.29,28.04,-25.91,2022/06/30,750.00
P158_2_IDC0001,Honeydew I/C Ramp,Major Culvert,Culvert Major,2011/11/30,2,P158,5.89,27.86,-26.02,2022/06/30,0.00
P158_2_IDC0005,Local Access Road,Major Culvert,Culvert Major,2011/11/30,2,P158,9.80,27.90,-26.01,2022/06/30,0.00
P158_2_IDC0006,Local Access Road,Major Culvert,Culvert Major,2011/12/01,2,P158,10.80,27.90,-26.00,2022/06/30,0.00
P158_2_IDC0007,Local Access Road,Major Culvert,Culvert Major,2011/12/01,2,P158,11.50,27.91,-26.00,2022/06/30,28500.00
P158_2_IDC0008,Local Access Road,Major Culvert,Culvert Major,2011/12/01,2,P158,14.60,27.93,-25.98,2022/06/30,0.00
P158_2_IDC0009,Access Road at Total Petroport,Major Culvert,Culvert Major,2011/12/01,2,P158,17.73,27.95,-25.96,2022/06/30,0.00
P158_2_IDC0010,South Access at Jukskei River,Major Culvert,Culvert Major,2011/12/01,2,P158,18.34,27.96,-25.95,2022/06/30,31020.00
P158_2_IDC0011,Riversfield Road Access,Major Culvert,Culvert Major,2011/12/01,2,P158,18.94,27.96,-25.94,2022/06/30,15000.00
P158_2_IDC0012,Diepsloot Tributary,Major Culvert,Culvert Major,2011/12/01,2,P158,53.70,27.98,-25.94,2022/06/30,0.00
P158_2_IDC0013,Local Access Road,Major Culvert,Culvert Major,2011/12/01,2,P158,21.43,27.98,-25.93,2022/06/30,0.00
P158_2_IDC0014,Access Culvert for Airfield,Major Culvert,Culvert Major,2011/12/01,2,P158,28.19,28.04,-25.91,2022/06/30,0.00
P158_2_IDC0016,Swartbooispruit Tributary,Major Culvert,Culvert Major,2011/11/30,2,P158,30.66,28.07,-25.90,2022/06/30,0.00
P158_2_IDC0017,Rooihuiskraal Drainage,Major Culvert,Culvert Major,2012/01/17,2,P158,40.09,28.16,-25.88,2022/06/30,0.00
P158_2_IDC0018,Mona Voni I/C Culvert 1,Major Culvert,Culvert Major,2012/01/17,2,P158,34.47,28.10,-25.89,2022/06/30,0.00
P158_2_IDC0021,Rietspruit Tributary,Major Culvert,Culvert Major,2011/12/01,2,P158,33.99,28.10,-25.89,2022/06/30,224340.00
P158_2_IDC0022,Rietspruit Tributary,Major Culvert,Culvert Major,2012/01/17,2,P158,35.76,28.11,-25.89,2022/06/30,0.00
P158_2_IDC0023,Rietspruit Tributary,Major Culvert,Culvert Major,2012/01/17,2,P158,37.56,28.13,-25.89,2022/06/30,0.00
P158_2_IDC0024,Crocodile River Tributary,Major Culvert,Culvert Major,2011/12/01,2,P158,14.30,27.93,-25.98,2022/06/30,0.00
P159_01N_B3788A,3788(A) over Daspoort to Mountainview Rail,Bridge,Bridge,2012/10/05,01N,P159,0.46,28.17,-25.71,2022/06/30,172250.00
P159_01N_B3788B,3788(B) over Daspoort to Mountainview Rail,Bridge,Bridge,2012/10/05,01N,P159,0.46,28.17,-25.71,2022/06/30,38180.00
P159_01N_B3789,3789 Hendrik Street over P159-1,Bridge,Bridge,2012/10/08,01N,P159,1.45,28.16,-25.71,2022/06/30,418655.00
P159_01N_B3790,3790 Dorp Street over P159-1,Bridge,Bridge,2012/10/08,01N,P159,2.59,28.15,-25.70,2022/06/30,42850.00
P159_01N_B3792A,3792(A) Bremer Street North over P159-1,Bridge,Bridge,2012/10/08,01N,P159,3.52,28.14,-25.70,2022/06/30,974970.00
P159_01N_B3792B,3792(B) Bremer Steet North over P159-1,Bridge,Bridge,2012/10/08,01N,P159,3.54,28.14,-25.70,2022/06/30,1140820.00
P159_01N_B4040,NB01 Lady Selborne Pedestrian Bridge,Bridge,Bridge,2012/10/08,01N,P159,4.28,28.13,-25.70,2022/06/30,72530.00
P159_01N_C3791,"510 Culvert, Tributary to Apies river",Major Culvert,Culvert Major,2012/11/06,01N,P159,3.25,28.14,-25.70,2022/06/30,2250.00
P159_01N_IDC2281,P159 Ramp over tributary to Apies River,Major Culvert,Culvert Major,2012/11/06,01N,P159,3.23,28.14,-25.70,2022/06/30,3750.00
P16_01N_B1424,Steenkoppie Bridge 1424,Bridge,Bridge,2012/10/09,01N,P16,27.80,27.56,-26.01,2022/06/30,99650.00
P16_01N_B269,Steenkoppie Bridge 269,Bridge,Bridge,2012/10/09,01N,P16,30.10,27.55,-26.00,2022/06/30,99200.00
P16_01N_B3370,Kwaggasfontein Bridge 3370,Bridge,Bridge Cellular,2016/04/15,1,P16,,27.59,-26.03,2022/06/30,0.00
P16_01N_B397,Thorndale Bridge 397,Bridge,Bridge,2012/10/04,01N,P16,37.40,27.51,-25.95,2022/06/30,31920.00
P16_01N_C603,Magaliesriver C603,Major Culvert,Culvert Major,2012/10/16,01N,P16,26.40,27.57,-26.01,2022/06/30,6480.00
P16_01N_IDC0536,Tributory to Rietspruit,Major Culvert,Culvert Major,2012/10/10,01N,P16,14.60,27.65,-26.08,2022/06/30,11340.00
P16_01N_IDC0692,Tibutory to Wonderfonteinspruit,Major Culvert,Culvert Major,2012/10/16,01N,P16,1.40,27.77,-26.10,2022/06/30,29800.00
P16_01N_IDC0694,Tibutory to Wonderfonteinspruit,Major Culvert,Culvert Major,2012/10/16,01N,P16,2.80,27.75,-26.10,2022/06/30,4320.00
P16_01N_IDC0695,Tibutory to Magalies River,Major Culvert,Culvert Major,2012/10/16,01N,P16,23.00,27.59,-26.03,2022/06/30,13760.00
P16_01N_IDC0698,Tibutory to Bloubankriver,Major Culvert,Culvert Major,2012/10/16,01N,P16,30.70,27.54,-25.98,2022/06/30,7560.00
P16_01N_IDC0701,Tibutory to Swartspruit,Major Culvert,Culvert Major,2012/10/16,01N,P16,40.50,27.47,-25.93,2022/06/30,22250.00
P162_01N_B4179,P162/1-01,Bridge,Bridge,2012/10/17,01N,P162,2.69,27.86,-26.41,2022/06/30,93530.00
P162_01N_IDB1808,P162/1 over Rietspruit tributary,Bridge,Bridge Cellular,2016/05/17,,,,27.87,-26.41,2022/06/30,18320.00
P174_01N_B2119,River Bridge over the Boesman River,Bridge,Bridge,2012/10/04,01N,P174,18.00,28.67,-26.39,2022/06/30,42225.00
P174_01N_IDC0922,"Culvert (747), Tributary to Blesbokspruit",Bridge,Bridge Cellular,2012/10/18,01N,P174,6.30,28.58,-26.43,2022/06/30,72260.00
P175_01N_B1877,-,Bridge,Bridge,2012/10/27,01N,P175,5.00,27.74,-26.70,2022/06/30,234990.00
P175_01N_B1878,-,Bridge,Bridge,2012/10/27,01N,P175,7.50,27.72,-26.70,2022/06/30,98640.00
P175_01N_B4313,Drainage,Bridge,Bridge Cellular,2012/10/17,01N,P175,16.20,27.72,-26.72,2022/06/30,0.00
P175_01N_IDC0735,P175/1-01,Major Culvert,Culvert Major,2012/10/09,01N,P175,17.00,27.63,-26.72,2022/06/30,0.00
P186_1_B1723A,Klip River Bridge A,Bridge,Bridge,2011/10/20,1,P186,90.41,27.84,-26.29,2022/06/30,69430.00
P186_1_B1724A,Midway-Lenz Road over Rail (N12NB),Bridge,Bridge,2011/10/20,1,P186,91.03,27.84,-26.30,2022/06/30,39710.00
P186_1_B1724B,Midway-Lenz Road over Rail (N12SB),Bridge,Bridge,2011/10/20,1,P186,94.49,27.84,-26.30,2022/06/30,100190.00
P186_1_B1725A,Protea South Rail Bridge A,Bridge,Bridge,2011/10/17,1,P186,91.22,27.84,-26.30,2022/06/30,586140.00
P186_1_B1725B,Protea South Rail Bridge B,Bridge,Bridge,2011/10/20,1,P186,94.71,27.84,-26.30,2022/06/30,35640.00
P186_1_B1726A,St Marks St. Underpass,Bridge,Bridge,2011/10/19,1,P186,94.78,27.88,-26.30,2022/06/30,10760.00
P186_1_B1726B,St Marks Street Underpass (N12SB),Bridge,Bridge,2011/10/19,1,P186,98.28,27.88,-26.30,2022/06/30,36790.00
P186_1_B1727A,Klipspruit Bridge A,Bridge,Bridge,2011/10/18,1,P186,94.99,27.88,-26.30,2022/06/30,58210.00
P186_1_B1727B,Klipspruit Bridge B,Bridge,Bridge,2012/01/09,1,P186,98.51,27.88,-26.30,2022/06/30,45010.00
P186_1_B1728,East Road Overpass,Bridge,Bridge,2011/10/18,1,P186,95.92,27.89,-26.31,2022/06/30,203250.00
P186_1_B1729A,Concorde Road Underpass (N12NB),Bridge,Bridge,2011/10/18,1,P186,97.39,27.90,-26.30,2022/06/30,80270.00
P186_1_B1729B,Concorde Road Underpass (N12SB),Bridge,Bridge,2011/11/03,1,P186,100.89,27.90,-26.30,2022/06/30,44710.00
P186_1_B3945A,Golden Highway (R553) Overpass Bridge A,Bridge,Bridge,2011/10/17,1,P186,99.23,27.92,-26.30,2022/06/30,143230.00
P186_1_B3945B,Golden Highway (R553) Overpass Bridge B,Bridge,Bridge,2011/10/17,1,P186,99.26,27.92,-26.30,2022/06/30,127610.00
P186_1_B4101,Lizard Street Overpass,Bridge,Bridge,2011/10/19,1,P186,91.98,27.85,-26.30,2022/06/30,116510.00
P186_1_B4102A,Lenasia I/C: Klipspruit Valley (M10) Bridge A (N12 EB),Bridge,Bridge,2011/10/19,1,P186,94.25,27.87,-26.30,2022/06/30,43030.00
P186_1_B4102B,Lenasia I/C: Klipspruit Valley (M10) Bridge B (N12 WB),Bridge,Bridge,2011/10/19,1,P186,97.75,27.87,-26.30,2022/06/30,36460.00
P186_1_B4136,P186/1 (N12) over Harrington Spruit,Bridge,Bridge Cellular,2011/10/17,1,P186,97.23,27.90,-26.30,2022/06/30,31000.00
P186_1_B5512,Eldorado Park Pedestrian Bridge,Bridge,Bridge,2011/10/18,1,P186,96.63,27.90,-26.30,2022/06/30,25010.00
P186_1_IDC0017z,Harringtonspruit & Rand Water,Major Culvert,Culvert Major,2011/10/17,1,P186,98.45,27.91,-26.30,2022/06/30,0.00
P2_04N_B142,142 over Swartspruit,Bridge,Bridge,2012/11/22,04N,P2,16.75,28.01,-25.72,2022/06/30,550430.00
P2_04N_IDC2317,"511 Culvert, on the R514",Major Culvert,Culvert Major,2012/11/07,04N,P2,0.25,27.97,-25.72,2022/06/30,0.00
P2_05N_B1658,Edendale River Bridge,Bridge,Bridge,2012/11/07,05N,P2,12.20,28.40,-25.68,2022/06/30,117100.00
P2_05N_B1787,River Bridge,Bridge,Bridge,2012/11/07,05N,P2,7.60,28.36,-25.68,2022/06/30,37725.00
P2_05N_B3204,Moraleta River Bridge 2,Bridge,Bridge,2012/10/26,05N,P2,0.35,28.29,-25.69,2022/06/30,86190.00
P2_05N_B3205,Moraleta River Bridge 1,Bridge,Bridge,2012/10/26,05N,P2,0.85,28.29,-25.69,2022/06/30,32520.00
P2_05N_B4240,Rail Bridge,Bridge,Bridge,2012/11/07,05N,P2,9.85,28.38,-25.68,2022/06/30,8080.00
P2_05N_IDC1607,PC6,Major Culvert,Culvert Major,2012/10/25,05N,P2,21.40,28.49,-25.68,2022/06/30,630.00
P2_05N_IDC1646,PC7,Major Culvert,Culvert Major,2012/10/25,05N,P2,21.30,28.49,-25.68,2022/06/30,7500.00
P2_05N_IDC1663,PC5,Major Culvert,Culvert Major,2012/10/25,05N,P2,24.40,28.52,-25.68,2022/06/30,0.00
P2_05N_IDC1748,PC10,Major Culvert,Culvert Major,2012/10/26,05N,P2,19.50,28.47,-25.69,2022/06/30,1890.00
P2_05N_IDC2498,Culvert on Route P2/5 at km 11.2,Major Culvert,Culvert Major,2012/11/07,05N,P2,11.20,28.39,-25.68,2022/06/30,0.00
P2_05N_IDC2500,Culvert on Route P2/5 at km 11.25,Major Culvert,Culvert Major,2012/11/07,05N,P2,11.25,28.39,-25.68,2022/06/30,16260.00
P200_01N_B3794,3794 Start P200-1,Bridge,Bridge,2012/10/09,01N,P200,0.01,28.12,-25.70,2022/06/30,836100.00
P200_01N_B4000,4000 over Sarel Ave,Bridge,Bridge,2012/10/09,01N,P200,0.84,28.12,-25.69,2022/06/30,482660.00
P200_01N_B4001,4001 over Sarel Ave,Bridge,Bridge,2012/10/09,01N,P200,0.84,28.12,-25.69,2022/06/30,553820.00
P200_01N_B4002A,4002A over 7th Ave,Bridge,Bridge,2012/10/09,01N,P200,2.50,28.12,-25.68,2022/06/30,103460.00
P200_01N_B4002B,4002B over 7th Ave,Bridge,Bridge,2012/10/09,01N,P200,2.50,28.12,-25.68,2022/06/30,223420.00
P200_01N_B4003A,4003A Brits Rd over P200-1,Bridge,Bridge,2012/10/09,01N,P200,3.10,28.12,-25.68,2022/06/30,0.00
P200_01N_B4003B,4003B Brits Rd over R200-1,Bridge,Bridge,2012/10/09,01N,P200,3.07,28.12,-25.68,2022/06/30,0.00
P200_01N_B4004A,NB03 over Daan De Wet Nel Dr,Bridge,Bridge,2012/10/11,01N,P200,6.44,28.11,-25.65,2022/06/30,23300.00
P200_01N_B4004B,NB02 over Daan De Wet Nel Dr,Bridge,Bridge,2012/10/11,01N,P200,6.44,28.11,-25.65,2022/06/30,12900.00
P200_01N_B4054A,NB06 over Akasiaboom to Winternest rail,Bridge,Bridge,2012/10/11,01N,P200,7.22,28.11,-25.64,2022/06/30,115350.00
P200_01N_B4054B,NB07 over Akasiaboom to Winternest rail,Bridge,Bridge,2012/10/15,01N,P200,7.22,28.11,-25.64,2022/06/30,129600.00
P200_01N_B4116A,4116A R566 over P200-1,Bridge,Bridge,2012/10/15,01N,P200,8.21,28.11,-25.63,2022/06/30,112560.00
P200_01N_B4117,NB09 Agricultural overpass over P200-1,Bridge,Bridge,2012/10/15,01N,P200,9.61,28.11,-25.62,2022/06/30,918910.00
P200_01N_B4118A,P200/1 (R80) over Kaalplaasspruit,Bridge,Bridge,2012/10/15,01N,P200,12.43,28.11,-25.59,2022/06/30,43750.00
P200_01N_B4118B,P200/1 (R80) over Kaalplaasspruit,Bridge,Bridge,2012/10/16,01N,P200,12.43,28.11,-25.59,2022/06/30,38250.00
P200_01N_B4119,4119 Hebron Rd over P200-1,Bridge,Bridge,2012/10/16,01N,P200,13.68,28.11,-25.58,2022/06/30,15660.00
P200_01N_B4598,4598 1st Avenue over P200-1,Bridge,Bridge,2012/10/11,01N,P200,4.09,28.12,-25.67,2022/06/30,0.00
P200_01N_B5489,5489 Ruth First Rd over P200-1,Bridge,Bridge,2012/10/16,01N,P200,16.72,28.11,-25.56,2022/06/30,48000.00
P200_01N_IDB0665,NB04 over Brits to Onderstepoort Rail,Bridge,Bridge,2012/10/11,01N,P200,6.73,28.11,-25.64,2022/06/30,0.00
P200_01N_IDB0789,NB05 over Brits to Onderstepoort Rail,Bridge,Bridge,2012/10/11,01N,P200,6.73,28.11,-25.64,2022/06/30,9000.00
P200_01N_IDB0793,NB08 R566 over P200-1,Bridge,Bridge,2012/10/15,01N,P200,8.18,28.11,-25.63,2022/06/30,110270.00
P200_01N_IDC2130,504 Stormwater canal under R80 North & Southbound,Major Culvert,Culvert Major,2012/11/06,01N,P200,6.40,28.11,-25.65,2022/06/30,0.00
P200_01N_IDC2142,"506 Culvert, Tributary to Bonaccord Dam",Major Culvert,Culvert Major,2012/11/06,01N,P200,3.74,28.12,-25.67,2022/06/30,29840.00
P200_01N_IDC2220,"507 Culvert, Tributary to Bonaccord Dam",Major Culvert,Culvert Major,2012/11/06,01N,P200,3.73,28.12,-25.67,2022/06/30,0.00
P200_01N_IDC2240,"508 Culvert, Tributary to Bonaccord Dam",Major Culvert,Culvert Major,2012/11/06,01N,P200,3.71,28.12,-25.67,2022/06/30,37840.00
P200_01N_IDC2811,"Culvert (707), Tributary to Metsi Metsuane",Major Culvert,Culvert Major,2012/11/26,01N,P200,18.40,28.11,-25.54,2022/06/30,3780.00
P200_01N_IDC2813,"Culvert (705), Metsi Metsuane",Major Culvert,Culvert Major,2012/11/26,01N,P200,16.50,28.11,-25.56,2022/06/30,1080.00
P200_01N_IDC2814,"Culvert (706), Metsi Metsuane",Major Culvert,Culvert Major,2012/11/26,01N,P200,16.50,28.11,-25.56,2022/06/30,0.00
P205_01N_B2192,Van der Linde Road Bridge,Bridge,Bridge,2012/11/16,01N,P205,1.20,28.12,-26.17,2022/06/30,82600.00
P205_01N_B4067A,Bradford Road Bridge (4067A),Bridge,Bridge,2012/11/14,01N,P205,0.40,28.12,-26.18,2022/06/30,99240.00
P205_01N_B4067B,Bradford Road Bridge (4067B),Bridge,Bridge,2012/11/14,01N,P205,0.40,28.12,-26.18,2022/06/30,133060.00
P205_01N_B4067C,Bradford Road Underpass,Bridge,Bridge,2012/11/14,01N,P205,0.40,28.12,-26.18,2022/06/30,100550.00
P205_01N_IDB2470,Bradford Road Underpass,Bridge,Bridge,2012/11/14,01N,P205,0.40,28.12,-26.18,2022/06/30,39000.00
P206_01N_B1524,Woodmead Drive Overpass (Old Bridge),Bridge,Bridge,2012/11/22,01N,P206,6.90,28.09,-26.06,2022/06/30,91380.00
P206_01N_B3148,Marlboro Drive Underpass,Bridge,Bridge,2012/11/21,01N,P206,3.80,28.09,-26.09,2022/06/30,10200.00
P206_01N_B3149,Grayston Drive Overpass,Bridge,Bridge,2012/11/15,01N,P206,1.60,28.08,-26.11,2022/06/30,39340.00
P206_01N_B3321,Boero Road Underpass,Bridge,Bridge,2012/11/21,01N,P206,0.90,28.08,-26.11,2022/06/30,38450.00
P206_01N_B3401B,South Road Underpass ,Bridge,Bridge,2012/11/21,01N,P206,4.20,28.09,-26.09,2022/06/30,28940.00
P206_01N_B4440,Wendywood Kelvin Pedestrian Bridge,Bridge,Bridge,2012/11/21,01N,P206,5.40,28.09,-26.08,2022/06/30,5250.00
P206_01N_B4441,Pedestrian Bridge at Barlow Park,Bridge,Bridge,2012/11/21,01N,P206,3.00,28.08,-26.10,2022/06/30,0.00
P206_01N_B5245,Woodmead New Bridge (5245),Bridge,Bridge,2012/11/22,01N,P206,6.80,28.09,-26.06,2022/06/30,13355.00
P206_01N_IDB2609,Pedestrian Bridge at the Wendywood Shopping Centre,Bridge,Bridge,2012/11/21,01N,P206,4.70,28.09,-26.08,2022/06/30,12500.00
P206_01N_IDC2571,Wynberg Stormwater Culvert,Major Culvert,Culvert Major,2012/11/21,01N,P206,2.20,28.08,-26.10,2022/06/30,12600.00
P207_01N_B2150,Tributary of Elands River,Bridge,Bridge,2012/10/24,01N,P207,36.10,28.63,-25.46,2022/06/30,89500.00
P207_01N_B2152,Premier River Bridge,Bridge,Bridge,2012/11/07,01N,P207,5.80,28.46,-25.65,2022/06/30,89600.00
P207_01N_B4108,Elands River Bridge,Bridge,Bridge,2012/10/24,01N,P207,28.50,28.57,-25.49,2022/06/30,117800.00
P207_01N_B4391,4391,Bridge,Bridge Cellular,2012/10/25,01N,P207,13.70,28.50,-25.60,2022/06/30,0.00
