Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
D1683_01N_B4017,Road over Blesbok River Bridge outside Nigel,Bridge,Bridge,2012/10/08,01N,D1683,1.00,2022/06/30,2012/10/08,17459699.00,20971038.00,27713810.00,0.00,10254109.00,30100,67.85,13.57,5.50,,,,,,,,,,,,,1.00,0.63,37
D25_01N_B2677,Elands River Bridge,Bridge,Bridge,2012/10/24,01N,D25,8.70,2022/06/30,2016/02/17,3944676.00,8258629.00,8883112.00,354750.00,4583686.00,30100,24.80,11.90,4.70,,,,,,,,,,,,,1.00,0.484,54
D2666_01N_B1399,Rail over Road at Jameson Park,Bridge,Bridge,2012/10/11,01N,D2666,1.00,2022/06/30,2016/07/30,1205742.00,3275202.00,3605860.00,20250.00,2379867.00,30100,8.94,13.40,4.83,,,,,,,,,,,,,1.00,0.34,90
D2291_01N_IDC1967,Tributory to Apiesrivier C1,Major Culvert,Culvert Major,2012/11/02,01N,D2291,2.95,2022/06/30,2016/04/03,971718.00,2086510.00,2134974.00,285248.00,878008.00,24450,,,,,5.9,14.8,1.30,,,,,,,,,,0.589,47
D1919_01N_IDC1781,Tributory to Apiesrivier,Major Culvert,Culvert Major,2012/11/02,01N,D1919,2.80,2022/06/30,2016/04/02,2480214.00,4553489.00,4650214.00,257600.00,1912400.00,29350,,,,,6.8,23.3,4.60,,,,,,,,,,0.589,47
D2204_01N_B5227,D2204-01,Bridge,Bridge,2012/10/30,01N,D2204,15.86,2022/06/30,2016/04/22,7374990.00,13869529.00,14057900.00,75700.00,6607214.00,30100,33.60,13.90,7.20,,,,,,,,,,,,,1.00,0.53,47
D1931_01N_B3373,3373 over Kaalplaas River,Bridge,Bridge,2012/11/22,01N,D1931,2.21,2022/06/30,2016/03/15,13448173.00,24002525.00,26163640.00,156920.00,12558549.00,30100,60.70,14.32,3.45,,,,,,,,,,,,,1.00,0.52,48
D2212_01N_IDC2746,Tributary to Stinkwaterspruit C1,Major Culvert,Culvert Major,2012/11/21,01N,D2212,3.10,2022/06/30,2016/03/31,1800030.00,3176544.00,3176544.00,70160.00,1306354.00,24450,,,,,11.2,11.6,0.60,,,,,,,,,,0.589,47
D1919_01N_B2112,2112 over Apies River,Bridge,Bridge,2012/11/06,01N,D1919,8.60,2022/06/30,2016/02/16,13611293.00,22581358.00,26006400.00,172100.00,12223007.00,30100,96.00,9.00,4.49,,,,,,,,,,,,,1.00,0.53,47
D1986_01N_IDC0747,"Culvert, Tributary to Suikerbosrand river",Major Culvert,Culvert Major,2012/10/16,01N,D1986,3.40,2022/06/30,2016/06/06,998397.00,1602703.00,1725192.00,17310.00,709485.00,24450,,,,,8.4,8.4,2.00,,,,,,,,,,0.589,47
D2014_01N_IDC2005,D2014 over spruit,Major Culvert,Culvert Major,2012/11/12,01N,D2014,1.50,2022/06/30,2016/06/06,80755.00,132833.00,140832.00,2160.00,57917.00,24450,,,,,2.4,2.4,0.50,,,,,,,,,,0.589,47
D2758_01N_B3998,3998 over Akasiaboom to Labeleng Rail,Bridge,Bridge,2012/10/22,01N,D2758,7.35,2022/06/30,2016/03/12,10860069.00,19956840.00,20695680.00,108640.00,9726967.00,30100,53.80,12.78,6.20,,,,,,,,,,,,,1.00,0.53,47
D2205_01N_B5414,Road over Rail Leondale Road near Rondebult Station,Bridge,Bridge,2012/10/17,01N,D2205,2.54,2022/06/30,2016/06/02,6261692.00,10612776.00,11885740.00,37750.00,5586296.00,30100,24.30,16.25,6.89,,,,,,,,,,,,,1.00,0.53,47
D2758_01N_IDC2812,"Culvert (704), Tributary to Sandrivier",Major Culvert,Culvert Major,2012/11/26,01N,D2758,10.50,2022/06/30,2016/03/29,72554.00,220050.00,220050.00,57000.00,90496.00,24450,,,,,3,3,0.50,,,,,,,,,,0.589,47
D1691_01N_B2544,Elandsvlei Bridge 2544,Bridge,Bridge,2012/10/10,01N,D1691,3.60,2022/06/30,2016/04/01,2581345.00,5104684.00,5523952.00,346350.00,2596257.00,30100,14.80,12.40,2.60,,,,,,,,,,,,,1.00,0.53,47
D2757_01N_B2276,NB031 over Kekane to Spykerras Rail,Bridge,Bridge,2012/11/07,01N,D2757,0.32,2022/06/30,2016/02/16,6609267.00,10975033.00,12558680.00,46835.00,5902581.00,30100,29.30,14.24,6.00,,,,,,,,,,,,,1.00,0.53,47
D1932_01N_IDC2770,Tributory to Metsi Metsuane River C2,Major Culvert,Culvert Major,2012/11/21,01N,D1932,8.80,2022/06/30,2016/03/31,2261725.00,3684019.00,3847941.00,3750.00,1582466.00,24450,,,,,8.6,18.3,0.60,,,,,,,,,,0.589,47
D2212_01N_IDC2760,Tributary to Apies River C2,Major Culvert,Culvert Major,2012/11/21,01N,D2212,8.10,2022/06/30,2016/03/31,1720330.00,2865243.00,3176544.00,149860.00,1306354.00,24450,,,,,6.4,20.3,2.40,,,,,,,,,,0.589,47
D1884_01N_IDC2017,D1884 over spruit,Major Culvert,Culvert Major,2012/10/03,01N,D1884,3.00,2022/06/30,2016/07/29,85244.00,176040.00,176040.00,18400.00,72396.00,24450,,,,,4,1.8,0.80,,,,,,,,,,0.589,47
D1986_01N_IDC0744,"Culvert, Tributary to Suikerbosrand river",Major Culvert,Culvert Major,2012/10/16,01N,D1986,4.70,2022/06/30,2016/06/06,464459.00,779896.00,788889.60,0.00,324431.00,34240,,,,,4.8,4.8,7.00,,,,,,,,,,0.589,47
D1919_01N_IDC1746,Tributory to Apiesrivier,Major Culvert,Culvert Major,2012/11/02,01N,D1919,6.20,2022/06/30,2016/04/02,2973374.00,4473209.00,5486580.00,256850.00,2256356.00,24450,,,,,12,18.7,2.00,,,,,,,,,,0.589,47
D2079_01N_IDC2795,Road D2079 over stream at distance 6.0,Major Culvert,Culvert Major,2012/10/09,01N,D2079,6.00,2022/06/30,2016/06/09,130037.00,308070.00,352080.00,77250.00,144793.00,24450,,,,,4,3.6,0.60,,,,,,,,,,0.589,47
D2266_01N_B4158,4158 over Wildebeesthoek to Lynross rail,Bridge,Bridge,2012/10/17,01N,D2266,1.52,2022/06/30,2016/03/24,5337115.00,8213698.00,9327388.00,72770.00,3917503.00,30100,24.40,12.70,7.06,,,,,,,,,,,,,1.00,0.58,42
D2129_01N_IDC1768,Moreleta River Culvert,Major Culvert,Culvert Major,2012/10/26,01N,D2129,0.70,2022/06/30,2016/04/03,2216493.00,3452849.00,4621050.00,504150.00,1900407.00,24450,,,,,17.5,10.8,0.00,,,,,,,,,,0.589,47
D2297_01N_IDC0913,"Culvert (720), Tributary to Boesmanspruit",Major Culvert,Culvert Major,2012/10/18,01N,D2297,6.20,2022/06/30,2016/06/08,59408.00,152812.00,152812.50,30560.00,62844.00,24450,,,,,2.5,2.5,0.00,,,,,,,,,,0.589,47
D1780_01N_B3612,Tribute to Blesbok River,Bridge,Bridge,2012/10/09,01N,D1780,2.70,2022/06/30,2016/07/30,3212943.00,5727336.00,6542536.00,123750.00,3205843.00,30100,17.60,12.35,2.60,,,,,,,,,,,,,1.00,0.51,49
D2297_01N_IDC0918,"Culvert (724), Tributary to Boesmanspruit",Major Culvert,Culvert Major,2012/10/18,01N,D2297,9.90,2022/06/30,2016/06/08,66415.00,136030.00,140832.00,16500.00,57917.00,24450,,,,,2.4,2.4,2.00,,,,,,,,,,0.589,47
D1691_01N_B2540,Vlakplass Bridge 2540,Bridge,Bridge,2012/10/10,01N,D1691,1.50,2022/06/30,2016/04/01,2294726.00,4463002.00,4795833.00,45640.00,2455467.00,30100,11.30,14.10,4.87,,,,,,,,,,,,,1.00,0.488,53
D2666_01N_B434,River Bridge over Tributary of the Blesbok River near Jameson Park,Bridge,Bridge,2012/10/11,01N,D2666,1.30,2022/06/30,2016/07/30,2598619.00,5048980.00,5654586.00,138200.00,2917767.00,30100,20.20,9.30,4.52,,,,,,,,,,,,,1.00,0.484,54
D1919_01N_B3372,3372 over Petronella to Spykerras Rail,Bridge,Bridge,2012/11/06,01N,D1919,10.20,2022/06/30,2016/02/16,9099119.00,15679648.00,16037280.00,42130.00,6896031.00,30100,37.00,14.40,5.09,,,,,,,,,,,,,1.00,0.57,43
D2762_01N_IDC1636,NEW STRUCTURE,Major Culvert,Culvert Major,2012/11/07,01N,D2762,17.45,2022/06/30,2016/04/28,679870.00,1061953.00,1157316.00,1500.00,475946.00,24450,,,,,14.7,3.22,0.50,,,,,,,,,,0.589,47
D2205_01N_B5413,Road over Rail Leondale Rd  (K123),Bridge,Bridge,2012/10/17,01N,D2205,2.10,2022/06/30,2016/06/02,10371874.00,19045108.00,19613910.00,23500.00,9218538.00,30100,40.10,16.25,5.70,,,,,,,,,,,,,1.00,0.53,47
D2762_01N_IDC1632,D2762 (M6) over tributory to Pienaars River,Major Culvert,Culvert Major,2012/11/07,01N,D2762,9.30,2022/06/30,2016/04/28,1.00,139759.00,169056.00,116890.00,69524.00,29350,,,,,2.4,2.4,5.00,,,,,,,,,,0.589,47
D2291_01N_IDC1982,Tributory to Apiesrivier C2,Major Culvert,Culvert Major,2012/11/02,01N,D2291,3.00,2022/06/30,2016/04/03,971718.00,2134974.00,2134974.00,285248.00,878008.00,24450,,,,,5.9,14.8,1.30,,,,,,,,,,0.589,47
D1919_01N_B3200,3200 over Apies River,Bridge,Bridge,2012/11/07,01N,D1919,3.20,2022/06/30,2016/03/09,23378927.00,39279268.00,43078820.00,1176000.00,18523893.00,30100,85.70,16.70,6.59,,,,,,,,,,,,,1.00,0.57,43
D2150_01N_B2778,-,Bridge,Bridge,2012/10/29,01N,D2150,4.10,2022/06/30,2016/04/19,2002508.00,3343743.00,3803165.00,13170.00,1787487.00,30100,13.90,9.09,5.62,,,,,,,,,,,,,1.00,0.53,47
D2760_01N_IDC2341,CULVERT AT KM 1.5,Major Culvert,Culvert Major,2012/11/07,01N,D2760,1.50,2022/06/30,2016/04/28,496669.00,2271405.00,2445000.00,1500.00,1946831.00,24450,,,,,10,10,1.00,,,,,,,,,,0.204,91
D2762_01N_B1539,D2762 (M6) over tributory of Pienaars River,Bridge,Bridge,2012/11/23,01N,D2762,14.00,2022/06/30,2016/03/07,2981442.00,5781986.00,6145818.00,42300.00,3122076.00,30100,16.60,12.30,3.80,,,,,,,,,,,,,1.00,0.492,52
D1919_01N_IDC1749,Tributory to Apiesrivier,Major Culvert,Culvert Major,2012/11/02,01N,D1919,3.50,2022/06/30,2016/04/02,1695692.00,2585290.00,3956674.00,633800.00,1627182.00,29350,,,,,6.1,22.1,4.00,,,,,,,,,,0.589,47
D2761_01N_B1348,D2761 over Osspruit,Major Culvert,Culvert Major,2012/10/23,01N,D2761,8.10,2022/06/30,2016/04/28,687262.00,1041465.00,1198050.00,18090.00,492698.00,24450,,,,,7,7,0.50,,,,,,,,,,0.589,47
D1884_01N_B1663,Road D1884 over suikerbos river,Bridge,Bridge,2012/10/04,01N,D1884,6.00,2022/06/30,2016/05/18,9428862.00,16537880.00,17983780.00,102540.00,8452374.00,45140,48.00,8.30,10.10,,,,,,,,,,,,,1.00,0.53,47
D2310_01N_C3913,drainage,Major Culvert,Culvert Major,2012/10/13,01N,D2310,4.10,2022/06/30,2016/06/03,617753.00,1049262.00,1049263.00,0.00,431509.00,29350,,,,,6.5,5.5,4.00,,,,,,,,,,0.589,47
D1894_01N_IDC0984,"Culvert (034), Tributary to Blesbokspruit",Bridge,Bridge Cellular,2012/10/11,01N,D1894,0.70,2022/06/30,2016/06/10,1087832.00,1456197.00,2452335.00,355980.00,1008523.00,24450,,,,,11.8,8.5,0.00,,,,,,,,,,0.589,47
D25_01N_B1161,Malan River Bridge,Bridge,Bridge,2012/10/24,01N,D25,13.00,2022/06/30,2016/02/17,1936322.00,3357667.00,3732400.00,41850.00,1754228.00,30100,15.50,8.00,2.70,,,,,,,,,,,,,1.00,0.53,47
D2377_01N_B1106,Bronkhorstspruit River,Bridge,Bridge,2012/09/28,01N,D2377,0.50,2022/06/30,2016/03/08,5394548.00,9702562.00,10318580.00,74300.00,4849733.00,30100,29.30,11.70,5.00,,,,,,,,,,,,,1.00,0.53,47
D1932_01N_IDC2775,Tributory to Metsi Metsuane River C3,Major Culvert,Culvert Major,2012/11/21,01N,D1932,10.40,2022/06/30,2016/03/31,1539539.00,1708594.00,2614928.00,0.00,1075389.00,24450,,,,,6.9,15.5,0.60,,,,,,,,,,0.589,47
D2442_01N_IDC0430,Culvert at km 6.5 on Route D2442,Major Culvert,Culvert Major,2012/09/28,01N,D2442,6.50,2022/06/30,2016/04/26,75319.00,138632.00,138631.50,6300.00,57012.00,24450,,,,,2.7,2.1,1.00,,,,,,,,,,0.589,47
D1919_01N_IDC1744,Tributory to Apiesrivier,Major Culvert,Culvert Major,2012/11/02,01N,D1919,8.40,2022/06/30,2016/04/02,1858084.00,2988737.00,3168720.00,7500.00,1303136.00,24450,,,,,4.8,27,1.30,,,,,,,,,,0.589,47
D1781_01N_IDC2329,drainage,Major Culvert,Culvert Major,2012/10/13,01N,D1781,1.20,2022/06/30,2016/06/01,189361.00,331348.00,369684.00,28290.00,152033.00,24450,,,,,4.2,3.6,1.50,,,,,,,,,,0.589,47
D48_01N_B4517,NB033 over Tributary to Boekenhoutspruit,Bridge,Bridge,2012/11/08,01N,D48,7.58,2022/06/30,2016/02/15,5535724.00,9774416.00,10525970.00,43040.00,4947206.00,30100,26.00,13.45,3.49,,,,,,,,,,,,,1.00,0.53,47
D374_01N_IDC1816,Tributary to Bloubankspruit,Major Culvert,Culvert Major,2012/10/24,01N,D374,9.00,2022/06/30,2016/05/13,1638643.00,1896544.00,2840838.00,33900.00,1168295.00,39130,,,,,3,24.2,11.00,,,,,,,,,,0.589,47
D478_01N_IDC2003,D478 over spruit,Major Culvert,Culvert Major,2012/10/02,01N,D478,20.00,2022/06/30,2016/06/06,500864.00,867997.00,880500.00,17530.00,362106.00,29350,,,,,10,3,3.00,,,,,,,,,,0.589,47
D540_01N_IDC1785,Tributory to Krokodilrivier,Major Culvert,Culvert Major,2012/10/24,01N,D540,15.00,2022/06/30,2016/05/13,914798.00,1553798.00,1553798.00,0.00,638999.00,24450,,,,,4.1,15.5,2.00,,,,,,,,,,0.589,47
D374_01N_B4350,ZANDSPRUIT PEDESTRIAN BRIDGE,Bridge,Bridge,2012/11/13,01N,D374,8.10,2022/06/30,2016/04/07,1286013.00,2924880.00,3040100.00,325240.00,1428847.00,30100,40.40,2.50,6.00,,,,,,,,,,,,,1.00,0.53,47
D321_01N_IDC1623,NEW STRUCTURE,Major Culvert,Culvert Major,2012/11/12,01N,D321,24.30,2022/06/30,2016/04/28,8855194.00,13091726.00,15051420.00,6330.00,6189896.00,24450,,,,,28.5,21.6,1.00,,,,,,,,,,0.589,47
D51_01N_IDC2165,WATERFALLS CULVERT 1,Major Culvert,Culvert Major,2012/11/06,01N,D51,14.95,2022/06/30,2016/06/20,1108352.00,1886238.00,2068470.00,109460.00,850658.00,24450,,,,,14.1,6,0.50,,,,,,,,,,0.589,47
D377_01N_B2205,D377-01,Bridge,Bridge,2012/10/10,01N,D377,15.50,2022/06/30,2016/05/09,5529832.00,11498407.00,12324120.00,336450.00,6457841.00,45140,29.20,9.35,8.00,,,,,,,,,,,,,1.00,0.476,56
D405_01N_IDC2292,drainage,Major Culvert,Culvert Major,2012/10/12,01N,D405,5.60,2022/06/30,2016/06/02,2033021.00,3520800.00,3520800.00,39850.00,1447929.00,24450,,,,,14.4,10,0.80,,,,,,,,,,0.589,47
D36_01N_B1442,Edendale River Bridge,Bridge,Bridge,2012/11/07,01N,D36,5.80,2022/06/30,2016/02/23,5370977.00,9864520.00,10649380.00,166700.00,5111703.00,30100,29.00,12.20,4.00,,,,,,,,,,,,,1.00,0.52,48
D36_01N_B4174,Rail Bridge,Bridge,Bridge,2012/10/26,01N,D36,5.30,2022/06/30,2016/02/22,5633467.00,10021931.00,10665030.00,19000.00,5012565.00,30100,34.40,10.30,7.00,,,,,,,,,,,,,1.00,0.53,47
D49_01N_IDC2356,Bridge at route km 7.6,Major Culvert,Culvert Major,2012/10/29,01N,D49,7.60,2022/06/30,2016/05/16,485858.00,789280.00,938613.00,66750.00,386005.00,29350,,,,,6,5.33,4.00,,,,,,,,,,0.589,47
D434_01N_B2007,2007 over Apies River,Bridge,Bridge,2012/11/22,01N,D434,0.45,2022/06/30,2016/07/26,1484869.00,3476127.00,4757907.00,722800.00,2550238.00,30100,16.50,9.58,1.35,,,,,,,,,,,,,1.00,0.464,59
D374_01N_IDC2167,EASTWOOD AVENUE AND BEYERS NAUDE ROAD CULVERT ,Major Culvert,Culvert Major,2012/11/13,01N,D374,2.70,2022/06/30,2016/05/17,212716.00,499778.00,594337.50,137200.00,244421.00,29350,,,,,4.5,4.5,4.00,,,,,,,,,,0.589,47
D51_01N_IDC2166,KYALAMI CULVERT ,Major Culvert,Culvert Major,2012/11/06,01N,D51,16.00,2022/06/30,2016/06/20,4827038.00,7729577.00,8320320.00,71550.00,3421732.00,34240,,,,,40.5,6,7.00,,,,,,,,,,0.589,47
D318_01N_B1502,NB021 over Kaalplaas River,Bridge,Bridge,2012/10/22,01N,D318,8.66,2022/06/30,2016/03/09,3490780.00,6202478.00,6647886.00,32600.00,3124506.00,30100,13.50,16.36,2.61,,,,,,,,,,,,,1.00,0.53,47
D483_01N_B2985,Rail Bridge 2985 on Route 19.5,Bridge,Bridge,2012/09/27,01N,D483,19.50,2022/06/30,2016/03/07,5110264.00,8531173.00,9700026.00,30750.00,4559012.00,30100,26.20,12.30,7.40,,,,,,,,,,,,,1.00,0.53,47
D401_01N_B729,Hartbeesfontein Bridge 729,Bridge,Bridge,2012/10/03,01N,D401,1.30,2022/06/30,2016/03/31,3552855.00,6166148.00,6721330.00,9450.00,3159025.00,30100,38.50,5.80,3.70,,,,,,,,,,,,,1.00,0.53,47
D473_01N_B3123,-,Bridge,Bridge,2012/10/28,01N,D473,1.50,2022/06/30,2016/05/10,4781180.00,7951818.00,9087792.00,35350.00,4271262.00,30100,13.60,22.20,5.47,,,,,,,,,,,,,1.00,0.53,47
D540_01N_B3146,Kromdraai Bridge 3146,Bridge,Bridge,2012/10/03,01N,D540,3.20,2022/06/30,2016/04/02,3561804.00,6120151.00,7016912.00,157160.00,3297948.00,30100,18.80,12.40,3.60,,,,,,,,,,,,,1.00,0.53,47
D478_01N_B1004,Road D478 over stream,Bridge,Bridge Cellular,2012/10/09,01N,D478,4.00,2022/06/30,2016/06/04,155465.00,264060.00,264060.00,0.00,108595.00,24450,,,,,3.6,3,1.00,,,,,,,,,,0.589,47
D37_01N_B1691,Roodeplaat River Bridge,Bridge,Bridge,2012/11/07,01N,D37,10.10,2022/06/30,2016/02/22,5986911.00,10688746.00,11751040.00,123630.00,5640499.00,30100,32.00,12.20,5.42,,,,,,,,,,,,,1.00,0.52,48
D48_01N_B4516,4516 over Tributary to Pienaars River,Bridge,Bridge,2012/11/08,01N,D48,5.14,2022/06/30,2016/02/15,3322155.00,5063121.00,5786424.00,149700.00,2314569.00,30100,14.40,13.35,2.40,,,,,,,,,,,,,1.00,0.6,40
D465_01N_B693,D465 over Klein River,Major Culvert,Culvert Major,2012/10/16,01N,D465,0.30,2022/06/30,2016/05/10,676388.00,1117464.00,1150128.00,750.00,472990.00,24450,,,,,8.4,5.6,0.00,,,,,,,,,,0.589,47
D478_01N_B2294,Road D478 over river,Bridge,Bridge,2012/10/04,01N,D478,1.00,2022/06/30,2016/05/18,2767600.00,5442080.00,6020000.00,97920.00,3154480.00,30100,20.00,10.00,3.60,,,,,,,,,,,,,1.00,0.476,56
D400_01N_C5554,Tributary to Rietlaagte River,Major Culvert,Culvert Major,2012/10/23,01N,D400,17.10,2022/06/30,2016/05/11,3951122.00,6711036.00,6711036.00,0.00,2759914.00,24450,,,,,18.8,14.6,1.00,,,,,,,,,,0.589,47
D377_01N_C3914,D377-02,Major Culvert,Culvert Major,2012/10/10,01N,D377,17.40,2022/06/30,2016/05/19,2968983.00,4925966.00,5069952.00,15951.00,2085018.00,24450,,,,,14.4,14.4,0.00,,,,,,,,,,0.589,47
D359_01N_B4390,Road D359 over canal,Bridge,Bridge,2012/10/04,01N,D359,7.00,2022/06/30,2016/05/18,2845097.00,4419725.00,4749329.00,4500.00,1899731.00,30100,15.70,10.05,2.00,,,,,,,,,,,,,1.00,0.6,40
D374_01N_B635,Elandsdrif Bridge 635,Bridge,Bridge,2012/10/02,01N,D374,4.40,2022/06/30,2016/06/24,12596663.00,22606698.00,24521850.00,399920.00,11525271.00,45140,50.30,10.80,12.00,,,,,,,,,,,,,1.00,0.53,47
D400_01N_IDC1754,Tributary to Skeerpoort Rivier,Major Culvert,Culvert Major,2012/10/23,01N,D400,34.10,2022/06/30,2016/05/11,1306600.00,2212155.00,2237664.00,10825.00,920239.00,24450,,,,,5.2,17.6,1.80,,,,,,,,,,0.589,47
D473_01N_IDC2294,drainage,Major Culvert,Culvert Major,2012/10/12,01N,D473,7.80,2022/06/30,2016/05/31,696427.00,1182891.00,1182891.00,0.00,486464.00,24450,,,,,8.2,5.9,0.60,,,,,,,,,,0.589,47
D31_01N_IDC2819,"Culvert (710), Kaalplaasspruit",Major Culvert,Culvert Major,2012/11/26,01N,D31,1.60,2022/06/30,2016/03/31,5243068.00,8803902.00,8905424.00,0.00,3662356.00,24450,,,,,21.3,17.1,0.20,,,,,,,,,,0.589,47
D318_01N_IDC2728,Tributary to Apies River C1,Major Culvert,Culvert Major,2012/11/21,01N,D318,0.40,2022/06/30,2016/04/01,1995818.00,3389925.00,3389925.00,0.00,1394107.00,29350,,,,,4.2,27.5,3.20,,,,,,,,,,0.589,47
D37_01N_B1625,Pienaars River Bridge,Bridge,Bridge,2012/11/07,01N,D37,1.75,2022/06/30,2016/02/22,9146831.00,16983190.00,17626560.00,18980.00,8460749.00,30100,48.00,12.20,5.13,,,,,,,,,,,,,1.00,0.52,48
D400_01N_IDC1686,Tributary to Skeerpoort Rivier,Major Culvert,Culvert Major,2012/10/23,01N,D400,26.40,2022/06/30,2016/05/11,792297.00,1322851.00,1345728.00,0.00,553431.00,24450,,,,,4.3,12.8,1.00,,,,,,,,,,0.589,47
D321_01N_IDC1625,NEW STRUCTURE,Major Culvert,Culvert Major,2012/11/12,01N,D321,18.60,2022/06/30,2016/04/28,1036436.00,1760400.00,1760400.00,0.00,723964.00,24450,,,,,24,3,1.00,,,,,,,,,,0.589,47
D318_01N_B4344,4344 Ga-Rankuwa to Pienaarspoort Rail,Bridge,Bridge,2012/10/22,01N,D318,4.03,2022/06/30,2016/03/09,6872446.00,10965410.00,12154080.00,176920.00,5104713.00,30100,29.80,13.55,7.40,,,,,,,,,,,,,1.00,0.58,42
D318_01N_IDC2721,Tributary to Apies River C2,Major Culvert,Culvert Major,2012/11/21,01N,D318,1.30,2022/06/30,2016/04/01,1256599.00,2144586.00,2267004.00,78100.00,932305.00,24450,,,,,6.1,15.2,0.80,,,,,,,,,,0.589,47
D321_01N_IDC1626,NEW STRUCTURE,Major Culvert,Culvert Major,2012/11/07,01N,D321,4.70,2022/06/30,2016/04/28,604761.00,1014202.00,1056240.00,17100.00,434379.00,24450,,,,,18,2.4,0.50,,,,,,,,,,0.589,47
D377_01N_B3699,D377-03,Bridge,Bridge,2012/10/10,01N,D377,27.00,2022/06/30,2016/05/09,8562438.00,14676156.00,16896330.00,392620.00,7941276.00,30100,44.20,12.70,1.40,,,,,,,,,,,,,1.00,0.53,47
D377_01N_B3698,D377-04,Bridge,Bridge,2012/10/11,01N,D377,33.00,2022/06/30,2016/04/18,3736194.00,6763865.00,7336875.00,152350.00,3448331.00,30100,19.50,12.50,2.50,,,,,,,,,,,,,1.00,0.53,47
D37_01N_B4175,Rail Bridge,Bridge,Bridge,2012/11/07,01N,D37,2.20,2022/06/30,2016/02/23,7046035.00,12566720.00,13394500.00,53050.00,6295415.00,30100,44.50,10.00,6.75,,,,,,,,,,,,,1.00,0.53,47
D51_01N_IDC2164,WATERFALLS CULVERT 2 ,Major Culvert,Culvert Major,2012/11/14,01N,D51,15.00,2022/06/30,2016/06/20,1474413.00,2475562.00,2640600.00,80240.00,1085947.00,24450,,,,,18,6,1.00,,,,,,,,,,0.589,47
D473_01E_IDC2076,D473-01,Major Culvert,Culvert Major,2012/10/11,01E,D473,2.30,2022/06/30,2016/05/31,344327.00,584844.00,584844.00,0.00,240517.00,24450,,,,,5.2,4.6,1.20,,,,,,,,,,0.589,47
D49_01N_IDC2679,Culvert on Route D49 at km 4.6,Major Culvert,Culvert Major,2012/10/29,01N,D49,4.60,2022/06/30,2016/07/27,600195.00,1033068.00,1038990.00,11510.00,427285.00,29350,,,,,6,5.9,4.00,,,,,,,,,,0.589,47
D400_01N_IDC1666,Tributary to Skeerpoort Rivier C3,Major Culvert,Culvert Major,2012/10/23,01N,D400,25.40,2022/06/30,2016/05/11,608042.00,1032768.00,1032768.00,0.00,424726.00,24450,,,,,3.2,13.2,1.00,,,,,,,,,,0.589,47
D473_01N_B3124,-,Bridge,Bridge,2012/10/28,01N,D473,1.90,2022/06/30,2016/05/10,7377987.00,13657717.00,14033820.00,59940.00,6595897.00,30100,37.60,12.40,3.37,,,,,,,,,,,,,1.00,0.53,47
D318_01N_B1501,NB022 over Metsi Metsuane River,Bridge,Bridge,2012/10/22,01N,D318,11.92,2022/06/30,2016/03/19,1798589.00,3341065.00,3397809.00,2250.00,1596970.00,30100,6.90,16.36,2.74,,,,,,,,,,,,,1.00,0.53,47
D495_01N_IDC0468,Culvert at km 4 on Route D495,Major Culvert,Culvert Major,2012/09/27,01N,D495,4.00,2022/06/30,2012/09/27,794601.00,1209682.00,1349640.00,0.00,555039.00,24450,,,,,8,6.9,0.30,,,,,,,,,,0.589,47
D34_01N_IDC1880,D34-1 Over Schurweberg Stream,Major Culvert,Culvert Major,2012/10/31,01N,D34,0.20,2022/06/30,2016/05/01,1721635.00,2924220.00,2924220.00,0.00,1202585.00,24450,,,,,13,9.2,1.00,,,,,,,,,,0.589,47
D48_01N_B1373,1373 over Boekenhoutspruit,Bridge,Bridge,2012/11/08,01N,D48,12.02,2022/06/30,2016/02/15,6587153.00,10163131.00,10687910.00,39350.00,4061405.00,30100,26.40,13.45,4.90,,,,,,,,,,,,,1.00,0.62,38
D48_01N_IDC1582,Tributory to Boekenhoutspruit,Major Culvert,Culvert Major,2012/10/31,01N,D48,9.80,2022/06/30,2016/04/03,1095735.00,1846202.00,1867491.00,3750.00,768006.00,24450,,,,,5.7,13.4,1.50,,,,,,,,,,0.589,47
D31_01N_IDC2821,"Culvert (712), Tributary to Sandrivier",Major Culvert,Culvert Major,2012/11/27,01N,D31,5.80,2022/06/30,2016/03/29,74725.00,140832.00,140832.00,8190.00,57917.00,24450,,,,,2.4,2.4,0.20,,,,,,,,,,0.589,47
D327_01N_B2003,NB041 over Pienaars River,Bridge,Bridge,2012/11/22,01N,D327,10.32,2022/06/30,2016/03/09,4528749.00,7957837.00,8674338.00,68650.00,4076939.00,30100,32.60,8.84,6.39,,,,,,,,,,,,,1.00,0.53,47
D400_01N_B2089,Weltervreden Bridge 2089,Bridge,Bridge,2012/10/04,01N,D400,29.00,2022/06/30,2016/03/31,2236439.00,4151055.00,4406640.00,99080.00,2071121.00,30100,12.00,12.20,3.30,,,,,,,,,,,,,1.00,0.53,47
